TIME,CROSS_SECTION_ID,AVERAGE_WIDTH,DISTANCE_TO_OUTLET
1,0,0.1065,0.0
1,1,0.1064,0.03
1,2,0.108,0.06
1,3,0.1069,0.09
1,4,0.1061,0.12
1,5,0.1051,0.15
1,6,0.108,0.18
1,7,0.1061,0.21
1,8,0.106,0.24
1,9,0.1065,0.27
1,10,0.1056,0.3
1,11,0.1053,0.33
1,12,0.1056,0.36
1,13,0.1058,0.39
1,14,0.1052,0.42
1,15,0.105,0.45
1,16,0.105,0.48
1,17,0.1065,0.51
1,18,0.1093,0.54
1,19,0.1063,0.57
1,20,0.1065,0.6
1,21,0.1054,0.63
1,22,0.106,0.66
1,23,0.105,0.69
1,24,0.1065,0.72
1,25,0.105,0.75
1,26,0.1065,0.78
1,27,0.1055,0.81
1,28,0.1066,0.84
1,29,0.1065,0.87
1,30,0.1073,0.9
1,31,0.1068,0.93
1,32,0.1065,0.96
1,33,0.1073,0.99
1,34,0.1052,1.02
1,35,0.105,1.05
1,36,0.108,1.08
1,37,0.1082,1.11
1,38,0.1071,1.14
1,39,0.107,1.17
1,40,0.108,1.2
1,41,0.1122,1.23
1,42,0.1086,1.26
1,43,0.1072,1.29
1,44,0.1032,1.32
1,45,0.1046,1.35
1,46,0.1065,1.38
1,47,0.1025,1.41
1,48,0.1049,1.44
1,49,0.1069,1.47
10,30,0.0026,0.9
10,47,0.003,1.41
10,0,0.1065,0.0
10,1,0.1065,0.03
10,2,0.1095,0.06
10,3,0.1065,0.09
10,4,0.1065,0.12
10,5,0.105,0.15
10,6,0.108,0.18
10,7,0.1065,0.21
10,8,0.1065,0.24
10,9,0.1065,0.27
10,10,0.1064,0.3
10,11,0.1065,0.33
10,12,0.1051,0.36
10,13,0.105,0.39
10,14,0.1064,0.42
10,15,0.105,0.45
10,16,0.105,0.48
10,17,0.1079,0.51
10,18,0.1094,0.54
10,19,0.1065,0.57
10,20,0.1065,0.6
10,21,0.1065,0.63
10,22,0.1064,0.66
10,23,0.1051,0.69
10,24,0.1065,0.72
10,25,0.105,0.75
10,26,0.1065,0.78
10,27,0.1065,0.81
10,28,0.1065,0.84
10,29,0.1065,0.87
10,30,0.108,0.9
10,31,0.108,0.93
10,32,0.1065,0.96
10,33,0.108,0.99
10,34,0.1065,1.02
10,35,0.105,1.05
10,36,0.108,1.08
10,37,0.1082,1.11
10,38,0.1169,1.14
10,39,0.1066,1.17
10,40,0.108,1.2
10,41,0.1125,1.23
10,42,0.1095,1.26
10,43,0.108,1.29
10,44,0.105,1.32
10,45,0.1048,1.35
10,46,0.108,1.38
10,47,0.1034,1.41
10,48,0.1064,1.44
10,49,0.108,1.47
20,30,0.0026,0.9
20,39,0.0018,1.17
20,47,0.0052,1.41
20,0,0.1065,0.0
20,1,0.1066,0.03
20,2,0.1125,0.06
20,3,0.1079,0.09
20,4,0.1065,0.12
20,5,0.1051,0.15
20,6,0.1081,0.18
20,7,0.1065,0.21
20,8,0.1065,0.24
20,9,0.1065,0.27
20,10,0.1064,0.3
20,11,0.1079,0.33
20,12,0.1051,0.36
20,13,0.105,0.39
20,14,0.1065,0.42
20,15,0.1064,0.45
20,16,0.1065,0.48
20,17,0.1065,0.51
20,18,0.1094,0.54
20,19,0.1065,0.57
20,20,0.1066,0.6
20,21,0.108,0.63
20,22,0.1065,0.66
20,23,0.1066,0.69
20,24,0.1065,0.72
20,25,0.1065,0.75
20,26,0.108,0.78
20,27,0.1065,0.81
20,28,0.1079,0.84
20,29,0.1066,0.87
20,30,0.108,0.9
20,31,0.108,0.93
20,32,0.1065,0.96
20,33,0.1066,0.99
20,34,0.1065,1.02
20,35,0.1065,1.05
20,36,0.108,1.08
20,37,0.1082,1.11
20,38,0.1079,1.14
20,39,0.108,1.17
20,40,0.108,1.2
20,41,0.1125,1.23
20,42,0.1109,1.26
20,43,0.108,1.29
20,44,0.1064,1.32
20,45,0.1065,1.35
20,46,0.108,1.38
20,47,0.1035,1.41
20,48,0.105,1.44
20,49,0.108,1.47
30,27,0.0014,0.81
30,30,0.0026,0.9
30,47,0.0056,1.41
30,0,0.1065,0.0
30,1,0.1094,0.03
30,2,0.1124,0.06
30,3,0.1065,0.09
30,4,0.1065,0.12
30,5,0.1065,0.15
30,6,0.108,0.18
30,7,0.1065,0.21
30,8,0.1065,0.24
30,9,0.1081,0.27
30,10,0.1064,0.3
30,11,0.1065,0.33
30,12,0.1065,0.36
30,13,0.1065,0.39
30,14,0.1079,0.42
30,15,0.1065,0.45
30,16,0.1065,0.48
30,17,0.1065,0.51
30,18,0.1094,0.54
30,19,0.1065,0.57
30,20,0.108,0.6
30,21,0.1066,0.63
30,22,0.1065,0.66
30,23,0.1066,0.69
30,24,0.1079,0.72
30,25,0.1065,0.75
30,26,0.1079,0.78
30,27,0.1065,0.81
30,28,0.1065,0.84
30,29,0.1065,0.87
30,30,0.108,0.9
30,31,0.108,0.93
30,32,0.1065,0.96
30,33,0.1066,0.99
30,34,0.1182,1.02
30,35,0.1065,1.05
30,36,0.108,1.08
30,37,0.1082,1.11
30,38,0.1065,1.14
30,39,0.1066,1.17
30,40,0.108,1.2
30,41,0.1125,1.23
30,42,0.1109,1.26
30,43,0.108,1.29
30,44,0.1064,1.32
30,45,0.1063,1.35
30,46,0.108,1.38
30,47,0.1034,1.41
30,48,0.105,1.44
30,49,0.1081,1.47
40,29,0.0036,0.87
40,36,0.0026,1.08
40,39,0.0016,1.17
40,47,0.0048,1.41
40,0,0.108,0.0
40,1,0.1094,0.03
40,2,0.1095,0.06
40,3,0.1095,0.09
40,4,0.108,0.12
40,5,0.1066,0.15
40,6,0.1096,0.18
40,7,0.108,0.21
40,8,0.1066,0.24
40,9,0.1066,0.27
40,10,0.1065,0.3
40,11,0.1065,0.33
40,12,0.1066,0.36
40,13,0.1065,0.39
40,14,0.1065,0.42
40,15,0.1065,0.45
40,16,0.1065,0.48
40,17,0.108,0.51
40,18,0.1109,0.54
40,19,0.1065,0.57
40,20,0.108,0.6
40,21,0.1079,0.63
40,22,0.1065,0.66
40,23,0.1051,0.69
40,24,0.108,0.72
40,25,0.1065,0.75
40,26,0.1079,0.78
40,27,0.1065,0.81
40,28,0.1199,0.84
40,29,0.1065,0.87
40,30,0.1066,0.9
40,31,0.108,0.93
40,32,0.1065,0.96
40,33,0.1066,0.99
40,34,0.1186,1.02
40,35,0.1065,1.05
40,36,0.108,1.08
40,37,0.1081,1.11
40,38,0.1185,1.14
40,39,0.1065,1.17
40,40,0.108,1.2
40,41,0.1125,1.23
40,42,0.1094,1.26
40,43,0.108,1.29
40,44,0.1064,1.32
40,45,0.1065,1.35
